SETOR;Subsetores;Produtos;CO_NCM;DESCRIÇÃO
DEMAIS PRODUTOS DE ORIGEM VEGETAL;PRODUTOS DIVERSOS DA INDÚSTRIA QUÍMICA, DE ORIGEM VEGETAL;COLOFONIAS, ÁCIDOS RESÍNICOS E SEUS DERIVADOS;38069019;OUTROS DERIVADOS DE COLOFONIAS OU DE ACIDOS RESINICOS
DEMAIS PRODUTOS DE ORIGEM VEGETAL;PRODUTOS DIVERSOS DA INDÚSTRIA QUÍMICA, DE ORIGEM VEGETAL;COLOFONIAS, ÁCIDOS RESÍNICOS E SEUS DERIVADOS;38069090;OUTRAS ESSENCIAS DE COLOFONIA E OLEOS DE COLOFONIA
DEMAIS PRODUTOS DE ORIGEM VEGETAL;PRODUTOS DIVERSOS DA INDÚSTRIA QUÍMICA, DE ORIGEM VEGETAL;DEMAIS PRODUTOS DA INDÚSTRIA QUÍMICA , DE ORIGEM VEGETAL;38070000;ALCATROES DE MADEIRA,OLEOS DE ALCATRAO DE MADEIRA,ETC.
DEMAIS PRODUTOS DE ORIGEM VEGETAL;PRODUTOS DIVERSOS DA INDÚSTRIA QUÍMICA, DE ORIGEM VEGETAL;DEMAIS PRODUTOS DA INDÚSTRIA QUÍMICA , DE ORIGEM VEGETAL;38091010;PREPARACOES A BASE DE MATERIAS AMILACEAS P/IND.TEXTIL
DEMAIS PRODUTOS DE ORIGEM VEGETAL;PRODUTOS DIVERSOS DA INDÚSTRIA QUÍMICA, DE ORIGEM VEGETAL;DEMAIS PRODUTOS DA INDÚSTRIA QUÍMICA , DE ORIGEM VEGETAL;38091090;OUTRAS PREPARACOES A BASE DE MATERIAS AMILACEAS
PRODUTOS FLORESTAIS;BORRACHA NATURAL E GOMAS NATURAIS;BORRACHA NATURAL;40011000;LATEX DE BORRACHA NATURAL,MESMO PRE-VULCANIZADO
PRODUTOS FLORESTAIS;BORRACHA NATURAL E GOMAS NATURAIS;BORRACHA NATURAL;40012100;BORRACHA NATURAL EM FOLHAS FUMADAS
PRODUTOS FLORESTAIS;BORRACHA NATURAL E GOMAS NATURAIS;BORRACHA NATURAL;40012200;BORRACHA NATURAL TECNICAM.ESPECIF.(TSNR),EM OUTS.FORMAS
PRODUTOS FLORESTAIS;BORRACHA NATURAL E GOMAS NATURAIS;BORRACHA NATURAL;40012910;BORRACHA NATURAL CREPADA
PRODUTOS FLORESTAIS;BORRACHA NATURAL E GOMAS NATURAIS;BORRACHA NATURAL;40012920;BORRACHA NATURAL GRANULADA OU PRENSADA
PRODUTOS FLORESTAIS;BORRACHA NATURAL E GOMAS NATURAIS;BORRACHA NATURAL;40012990;BORRACHA NATURAL EM OUTRAS FORMAS
PRODUTOS FLORESTAIS;BORRACHA NATURAL E GOMAS NATURAIS;GOMA NATURAL;40013000;BALATA,GUTA-PERCHA,CHICLE E GOMAS NATURAIS ANALOGAS
